Date No.,Date,Read,Adjusted
1,01/12/2019,0,0
2,02/12/2019,0,0
3,03/12/2019,0,0
4,04/12/2019,0,0
5,05/12/2019,0,0
6,06/12/2019,0,0
7,07/12/2019,0,0
8,08/12/2019,0,0
9,09/12/2019,0,0
10,10/12/2019,0,0
11,11/12/2019,0,0
12,12/12/2019,0,0
13,13/12/2019,0,0
14,14/12/2019,0,0
15,15/12/2019,0,0
16,16/12/2019,0,0
17,17/12/2019,0,0
18,18/12/2019,0,0
19,19/12/2019,0,0
20,20/12/2019,0,0
21,21/12/2019,0,0
22,22/12/2019,0,0
23,23/12/2019,0,0
24,24/12/2019,0,0
25,25/12/2019,0,0
26,26/12/2019,0,0
27,27/12/2019,0,0
28,28/12/2019,0,0
29,29/12/2019,0,0
30,30/12/2019,0,0
31,31/12/2019,0,0
32,01/01/2020,0,0
33,02/01/2020,0,0
34,03/01/2020,0,0
35,04/01/2020,0,0
36,05/01/2020,0,0
37,06/01/2020,1,1
38,07/01/2020,0,0
39,08/01/2020,1,1
40,09/01/2020,1,1
41,10/01/2020,1,1
42,11/01/2020,1,1
43,12/01/2020,0,0
44,13/01/2020,1,1
45,14/01/2020,2,2
46,15/01/2020,1,1
47,16/01/2020,0,0
48,17/01/2020,7.343,7
49,18/01/2020,9.917,9
50,19/01/2020,4.757,4
51,20/01/2020,7.098,6
52,21/01/2020,13.799,13
53,22/01/2020,19.28,18
54,23/01/2020,22.086,20
55,24/01/2020,21.229,19
56,25/01/2020,22.582,21
57,26/01/2020,17.655,16
58,27/01/2020,24.355,22
59,28/01/2020,19.603,18
60,29/01/2020,30.898,28
61,30/01/2020,19.519,18
62,31/01/2020,14.648,13
63,01/02/2020,22.396,20
64,02/02/2020,17.47,16
65,03/02/2020,15.682,14
66,04/02/2020,6.161,6
67,05/02/2020,12.515,11
68,06/02/2020,14.157,13
69,07/02/2020,18.824,17
70,08/02/2020,4.943,4
71,09/02/2020,9.261,8
72,10/02/2020,7.823,7
73,11/02/2020,6.5,6
74,12/02/2020,2.329,2
75,13/02/2020,3.333,3
76,14/02/2020,0,0
77,15/02/2020,4.409,4
78,16/02/2020,6.169,6
79,17/02/2020,2.231,2
80,18/02/2020,7.71,7
81,19/02/2020,2.669,2
82,20/02/2020,0,0
83,21/02/2020,0,0
84,22/02/2020,0,0
85,23/02/2020,0,0
86,24/02/2020,6.58,6
87,25/02/2020,7.95,7
Total,,442.881,402
