part_id,cont_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,phys_contact,duration_multi,frequency_multi,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_other
1010101,101010101,60,NA,NA,F,1,5,1,1,0,0,0,NA,0
1010101,101010102,34,NA,NA,M,1,4,2,0,0,0,0,NA,0
1010101,101010103,64,NA,NA,M,0,5,1,1,0,0,0,NA,0
1010102,101010201,84,NA,NA,F,NA,2,1,0,0,0,0,NA,0
1010102,101010202,50,NA,NA,F,NA,1,1,0,0,0,0,NA,1
1010102,101010203,3,NA,NA,M,NA,1,3,0,0,0,0,NA,1
1010102,101010204,50,NA,NA,F,NA,4,4,0,0,0,0,NA,0
1010102,101010205,30,NA,NA,F,NA,4,5,0,0,0,0,NA,0
1010102,101010206,60,NA,NA,F,NA,5,5,0,0,0,0,NA,0
1010102,101010207,65,NA,NA,F,NA,4,5,0,0,0,0,NA,0
1010102,101010208,65,NA,NA,F,NA,4,5,0,0,0,0,NA,0
1010102,101010209,60,NA,NA,F,NA,NA,5,0,0,0,0,NA,0
1010102,101010210,67,NA,NA,F,NA,1,2,0,0,0,0,NA,0
1010102,101010211,67,NA,NA,F,NA,1,2,0,0,0,0,NA,1
1010102,101010212,90,NA,NA,M,NA,NA,2,0,0,0,0,NA,0
1010102,101010213,62,NA,NA,M,NA,2,2,0,0,0,0,NA,0
1010102,101010214,63,NA,NA,F,NA,1,2,0,0,0,0,NA,0
1010102,101010215,65,NA,NA,M,NA,1,3,0,0,0,0,NA,0
1010102,101010216,84,NA,NA,F,NA,3,1,1,0,0,0,NA,0
1010103,101010301,28,NA,NA,F,0,1,5,0,0,0,0,NA,1
1010103,101010302,30,NA,NA,M,NA,1,5,0,0,0,0,NA,1
1010103,101010303,32,NA,NA,F,NA,1,5,0,0,0,0,NA,1
1010103,101010304,21,NA,NA,F,NA,1,NA,0,0,0,0,NA,1
