hh_id,country,hh_size
HH1010101,CH,2
HH1010102,CH,2
HH1010103,CH,4
HH1010104,CH,1
HH1010105,CH,0
HH1010107,CH,2
HH1010108,CH,3
HH1010109,CH,2
HH1010110,CH,1
HH1010111,CH,1
HH1010112,CH,3
HH1010113,CH,1
HH1010114,CH,2
HH1010115,CH,2
HH1010116,CH,1
HH1010117,CH,2
HH1010118,CH,2
HH1010119,CH,3
HH1010120,CH,2
HH1010121,CH,1
HH1010122,CH,2
HH1010123,CH,1
HH1010124,CH,2
HH1010125,CH,2
HH1010201,CH,3
HH1010202,CH,2
HH1010203,CH,2
HH1010204,CH,1
HH1010205,CH,2
HH1010206,CH,2
HH1010207,CH,1
HH1010208,CH,2
HH1010209,CH,3
HH1010210,CH,4
HH1010211,CH,2
HH1010213,CH,2
HH1010214,CH,1
HH1010215,CH,2
HH1010216,CH,3
HH1010217,CH,2
HH1010218,CH,1
HH1010219,CH,2
HH1010220,CH,2
HH1010221,CH,2
HH1010222,CH,1
HH1010223,CH,0
HH1010224,CH,2
HH1010225,CH,2
HH1010301,CH,1
HH1010302,CH,1
HH1010303,CH,1
HH1010304,CH,1
HH1010305,CH,4
HH1010306,CH,2
HH1010307,CH,4
HH1010308,CH,4
HH1010309,CH,5
HH1010310,CH,2
HH1010311,CH,3
HH1010312,CH,2
HH1010313,CH,2
HH1010314,CH,1
HH1010315,CH,2
HH1010316,CH,1
HH1010317,CH,1
HH1010318,CH,2
HH1010319,CH,2
HH1010320,CH,4
HH1010321,CH,2
HH1010322,CH,3
HH1010323,CH,2
HH1010324,CH,2
HH1010325,CH,2
HH1010401,CH,3
HH1010402,CH,2
HH1010403,CH,3
HH1010405,CH,2
HH1010406,CH,3
HH1010407,CH,4
HH1010408,CH,2
HH1010409,CH,3
HH1010410,CH,0
HH1010411,CH,4
HH1010412,CH,4
HH1010413,CH,2
HH1010414,CH,4
HH1010415,CH,2
HH1010416,CH,1
HH1010418,CH,1
HH1010419,CH,1
HH1010420,CH,1
HH1010421,CH,1
HH1010422,CH,1
HH1010423,CH,1
HH1010424,CH,3
HH1020101,CH,2
HH1020102,CH,4
HH1020103,CH,3
HH1020104,CH,3
HH1020105,CH,2
HH1020106,CH,2
HH1020107,CH,2
HH1020108,CH,2
HH1020109,CH,5
HH1020110,CH,2
HH1020111,CH,4
HH1020112,CH,1
HH1020113,CH,2
HH1020114,CH,3
HH1020116,CH,7
HH1020117,CH,4
HH1020118,CH,2
HH1020119,CH,2
HH1020120,CH,2
HH1020121,CH,1
HH1020123,CH,1
HH1020124,CH,1
HH1020125,CH,1
HH1020127,CH,2
HH1020128,CH,3
HH1020129,CH,1
HH1020130,CH,1
HH1020131,CH,3
HH1020132,CH,2
HH1020133,CH,2
HH1020134,CH,1
HH1020201,CH,1
HH1020202,CH,1
HH1020203,CH,3
HH1020204,CH,1
HH1020205,CH,2
HH1020206,CH,4
HH1020207,CH,1
HH1020208,CH,2
HH1020209,CH,3
HH1020210,CH,1
HH1020211,CH,1
HH1020212,CH,2
HH1020213,CH,2
HH1020214,CH,2
HH1020215,CH,2
HH1020216,CH,4
HH1020217,CH,3
HH1020218,CH,1
HH1020219,CH,3
HH1020220,CH,2
HH1020221,CH,4
HH1020222,CH,2
HH1020223,CH,4
HH1020224,CH,2
HH1020225,CH,2
HH1020226,CH,2
HH1020227,CH,3
HH1020228,CH,1
HH1020229,CH,2
HH1020230,CH,3
HH1020231,CH,0
HH1020232,CH,2
HH1020233,CH,2
HH1020301,CH,1
HH1020302,CH,2
HH1020303,CH,3
HH1020304,CH,3
HH1020305,CH,0
HH1020306,CH,1
HH1020307,CH,1
HH1020308,CH,3
HH1020309,CH,3
HH1020310,CH,1
HH1020311,CH,2
HH1020312,CH,2
HH1020314,CH,2
HH1020315,CH,4
HH1020316,CH,2
HH1020317,CH,2
HH1020318,CH,2
HH1020319,CH,1
HH1020320,CH,4
HH1020321,CH,2
HH1020322,CH,2
HH1020323,CH,2
HH1020325,CH,2
HH1020326,CH,3
HH1020327,CH,2
HH1020329,CH,3
HH1020330,CH,4
HH1020331,CH,1
HH1020332,CH,1
HH1020333,CH,3
HH1020334,CH,2
HH1030101,CH,1
HH1030102,CH,2
HH1030103,CH,2
HH1030104,CH,2
HH1030105,CH,4
HH1030106,CH,2
HH1030107,CH,1
HH1030108,CH,1
HH1030109,CH,4
HH1030110,CH,1
HH1030111,CH,2
HH1030112,CH,2
HH1030113,CH,3
HH1030114,CH,2
HH1030115,CH,3
