part_id,hh_id,part_age,part_gender
1010101,HH1010101,29,F
1010102,HH1010102,60,F
1010103,HH1010103,63,F
1010104,HH1010104,25,F
1010105,HH1010105,47,F
1010107,HH1010107,49,M
1010108,HH1010108,1.5,M
1010109,HH1010109,45,F
1010110,HH1010110,59,M
1010111,HH1010111,30,F
1010112,HH1010112,17,M
1010113,HH1010113,37,M
1010114,HH1010114,71,M
1010115,HH1010115,60,M
1010116,HH1010116,65,M
1010117,HH1010117,72,F
1010118,HH1010118,15,F
1010119,HH1010119,18,M
1010120,HH1010120,28,F
1010121,HH1010121,67,F
1010122,HH1010122,60,F
1010123,HH1010123,71,F
1010124,HH1010124,68,F
1010125,HH1010125,68,M
1010201,HH1010201,83,F
1010202,HH1010202,45,F
1010203,HH1010203,64,M
1010204,HH1010204,72,M
1010205,HH1010205,30,F
1010206,HH1010206,62,F
1010207,HH1010207,59,F
1010208,HH1010208,10,F
1010209,HH1010209,37,M
1010210,HH1010210,7,F
1010211,HH1010211,38,M
1010213,HH1010213,41,F
1010214,HH1010214,52,F
1010215,HH1010215,30,F
1010216,HH1010216,49,F
1010217,HH1010217,37,M
1010218,HH1010218,30,F
1010219,HH1010219,3,F
1010220,HH1010220,7,F
1010221,HH1010221,8,F
1010222,HH1010222,60,M
1010223,HH1010223,55,F
1010224,HH1010224,64,M
1010225,HH1010225,10,F
1010301,HH1010301,72,F
1010302,HH1010302,74,F
1010303,HH1010303,65,F
1010304,HH1010304,70,M
1010305,HH1010305,2,M
1010306,HH1010306,46,F
1010307,HH1010307,32,F
1010308,HH1010308,5,F
1010309,HH1010309,43,F
1010310,HH1010310,14,M
1010311,HH1010311,40,F
1010312,HH1010312,47,F
1010313,HH1010313,4,M
1010314,HH1010314,75,F
1010315,HH1010315,53,M
1010316,HH1010316,25,M
1010317,HH1010317,67,F
1010318,HH1010318,22,M
1010319,HH1010319,35,F
1010320,HH1010320,11,M
1010321,HH1010321,11,M
1010322,HH1010322,1,M
1010323,HH1010323,28,M
1010324,HH1010324,58,F
