part_id,mode_survey,group_yn,group_n,include_all_contacts,num_left_out,group_age0,group_age6,group_age12,group_age19,group_age60
1010101,S,1,40,1,NA,0,1,1,1,1
1010102,S,0,0,1,NA,0,0,0,0,0
1010103,S,0,0,1,NA,0,0,0,0,0
1010104,S,0,0,0,10,0,0,0,0,0
1010105,S,0,0,0,2,0,0,0,0,0
1010107,S,1,20,0,15,0,0,0,1,0
1010108,S,0,0,1,NA,0,0,0,0,0
1010109,S,0,0,1,NA,0,0,0,0,0
1010110,S,0,0,1,NA,0,0,0,0,0
1010111,S,0,0,1,NA,0,0,0,0,0
1010112,S,1,21,1,NA,0,0,1,0,0
1010113,S,0,0,1,NA,0,0,0,0,0
1010114,S,0,0,1,NA,0,0,0,0,0
1010115,S,1,22,1,NA,0,0,0,1,0
1010116,S,1,30,1,NA,0,0,0,1,1
1010117,S,1,20,1,NA,0,0,0,1,1
1010118,S,1,21,1,NA,0,0,1,0,0
1010119,S,1,30,1,NA,0,0,1,1,1
1010120,S,0,0,1,NA,0,0,0,0,0
1010121,S,0,0,1,NA,0,0,0,0,0
1010122,S,1,50,1,NA,0,0,0,1,0
1010123,S,1,30,1,NA,0,0,0,0,1
1010124,S,1,40,1,NA,0,1,0,1,1
1010125,S,0,0,1,NA,0,0,0,0,0
1010201,S,0,0,0,30,0,0,0,0,0
1010202,T,1,45,1,NA,0,1,1,1,1
1010203,S,0,0,0,NA,0,0,0,0,0
1010204,S,0,0,1,NA,0,0,0,0,0
1010205,T,0,0,1,NA,0,0,0,0,0
1010206,S,0,0,0,NA,0,0,0,0,0
1010207,T,1,20,1,NA,0,0,0,1,1
1010208,S,0,0,0,5,0,0,0,0,0
1010209,S,1,22,0,7,0,0,0,1,1
1010210,S,0,0,1,NA,0,0,0,0,0
1010211,S,1,35,0,20,0,0,0,1,1
1010213,S,1,25,1,NA,0,0,0,1,1
1010214,T,1,30,1,NA,0,0,0,1,0
1010215,T,1,28,1,NA,0,0,1,1,1
1010216,T,0,0,1,NA,0,0,0,0,0
1010217,S,0,0,1,NA,0,0,0,0,0
1010218,T,0,0,1,NA,0,0,0,0,0
1010219,S,0,0,1,NA,0,0,0,0,0
1010220,S,0,0,1,NA,0,0,0,0,0
1010221,S,0,0,1,NA,0,0,0,0,0
1010222,S,0,0,1,NA,0,0,0,0,0
1010223,S,0,0,1,NA,0,0,0,0,0
1010224,S,0,0,1,NA,0,0,0,0,0
1010225,S,1,30,0,8,0,1,0,0,0
1010301,S,1,40,NA,NA,1,1,1,1,1
1010302,S,1,30,0,10,1,1,1,1,1
1010303,S,0,0,1,NA,0,0,0,0,0
1010304,S,0,0,1,NA,0,0,0,0,0
1010305,S,0,0,1,NA,0,0,0,0,0
1010306,S,0,0,1,NA,0,0,0,0,0
1010307,S,0,0,1,NA,0,0,0,0,0
1010308,S,0,0,0,5,0,0,0,0,0
1010309,S,0,0,0,3,0,0,0,0,0
1010310,S,1,48,NA,NA,0,0,1,0,0
1010311,S,0,0,1,NA,0,0,0,0,0
1010312,S,0,0,0,NA,0,0,0,0,0
1010313,S,0,0,NA,NA,0,0,0,0,0
1010314,S,0,0,NA,NA,0,0,0,0,0
1010315,S,1,20,NA,NA,0,0,0,1,0
1010316,S,0,0,NA,NA,0,0,0,0,0
1010317,S,1,35,1,NA,0,0,0,1,1
1010318,S,1,40,NA,NA,0,0,0,1,0
1010319,S,1,40,NA,NA,1,1,1,1,1
1010320,S,1,28,NA,NA,0,1,1,0,0
1010321,S,1,25,1,NA,0,1,0,0,0
1010322,S,0,0,NA,NA,0,0,0,0,0
1010323,S,1,30,NA,NA,0,0,1,1,0
1010324,S,0,0,NA,NA,0,0,0,0,0
1010325,S,0,0,1,NA,0,0,0,0,0
1010401,S,1,20,NA,NA,0,0,0,1,0
1010402,S,0,0,NA,NA,0,0,0,0,0
1010403,S,1,28,1,NA,0,0,1,0,0
1010405,S,1,24,1,NA,0,1,0,0,0
1010406,S,0,0,0,45,0,0,0,0,0
1010407,S,0,0,NA,NA,0,0,0,0,0
1010408,S,0,0,1,NA,0,0,0,0,0
1010409,S,0,0,0,3,0,0,0,0,0
1010410,S,0,0,1,NA,0,0,0,0,0
1010411,S,0,0,1,NA,0,0,0,0,0
1010412,S,0,0,NA,NA,0,0,0,0,0
1010413,S,0,0,1,NA,0,0,0,0,0
1010414,S,0,0,1,NA,0,0,0,0,0
1010415,S,0,0,NA,NA,0,0,0,0,0
1010416,S,0,0,NA,NA,0,0,0,0,0
1010418,S,1,30,1,NA,0,0,0,1,0
1010419,S,0,0,0,13,0,0,0,0,0
1010420,S,0,0,1,NA,0,0,0,0,0
1010421,S,0,0,1,NA,0,0,0,0,0
1010422,S,1,30,1,NA,0,0,0,1,0
1010423,S,1,50,1,NA,0,0,0,1,0
1010424,S,1,20,1,NA,0,0,1,0,0
1020101,S,0,0,1,NA,0,0,0,0,0
1020102,S,0,0,1,NA,0,0,0,0,0
1020103,S,0,0,1,NA,0,0,0,0,0
1020104,S,0,0,1,NA,0,0,0,0,0
1020105,S,0,0,0,2,0,0,0,0,0
1020106,S,1,60,1,NA,0,0,1,1,0
1020107,S,0,0,0,NA,0,0,0,0,0
1020108,S,0,0,0,10,0,0,0,0,0
1020109,S,0,0,1,NA,0,0,0,0,0
1020110,S,1,41,1,NA,0,0,0,1,1
1020111,S,0,0,1,NA,0,0,0,0,0
1020112,S,0,0,1,NA,0,0,0,0,0
1020113,S,0,0,1,NA,0,0,0,0,0
1020114,S,0,0,1,NA,0,0,0,0,0
1020116,S,0,0,1,NA,0,0,0,0,0
1020117,S,0,0,1,NA,0,0,0,0,0
1020118,S,0,0,0,NA,0,0,0,0,0
1020119,S,0,0,1,NA,0,0,0,0,0
1020120,S,0,0,1,NA,0,0,0,0,0
1020121,S,0,0,0,5,0,0,0,0,0
1020123,S,0,0,1,NA,0,0,0,0,0
1020124,S,0,0,1,NA,0,0,0,0,0
1020125,S,0,0,1,NA,0,0,0,0,0
1020127,S,0,0,0,NA,0,0,0,0,0
1020128,S,1,28,0,7,0,0,1,0,0
1020129,S,0,0,1,NA,0,0,0,0,0
1020130,S,0,0,NA,NA,0,0,0,0,0
1020131,S,0,0,1,NA,0,0,0,0,0
1020132,S,0,0,1,NA,0,0,0,0,0
1020133,S,0,0,1,NA,0,0,0,0,0
1020134,S,0,0,1,NA,0,0,0,0,0
1020201,S,0,0,1,NA,0,0,0,0,0
1020202,S,0,0,1,NA,0,0,0,0,0
1020203,S,0,0,1,NA,0,0,0,0,0
1020204,S,0,0,0,3,0,0,0,0,0
1020205,S,1,30,0,4,0,0,1,0,0
1020206,S,0,0,1,NA,0,0,0,0,0
1020207,S,1,50,1,NA,0,0,0,1,0
1020208,S,0,0,0,10,0,0,0,0,0
1020209,S,1,20,1,NA,0,0,0,1,1
1020210,S,0,0,1,NA,0,0,0,0,0
1020211,S,0,0,NA,NA,0,0,0,0,0
1020212,S,0,0,0,10,0,0,0,0,0
1020213,S,0,0,1,NA,0,0,0,0,0
1020214,S,0,0,NA,NA,0,0,0,0,0
1020215,S,0,0,0,3,0,0,0,0,0
1020216,S,1,30,1,NA,0,1,0,1,0
1020217,S,1,30,1,NA,0,0,1,0,0
1020218,S,0,0,1,NA,0,0,0,0,0
1020219,S,0,0,NA,NA,0,0,0,0,0
1020220,S,0,0,1,NA,0,0,0,0,0
1020221,S,1,43,1,NA,0,0,1,0,0
1020222,S,0,0,0,5,0,0,0,0,0
1020223,S,0,0,1,NA,0,0,0,0,0
1020224,S,0,0,1,NA,0,0,0,0,0
1020225,S,1,35,1,NA,0,1,0,0,0
1020226,S,0,0,NA,NA,0,0,0,0,0
1020227,S,0,0,1,NA,0,0,0,0,0
1020228,S,0,0,0,NA,0,0,0,0,0
1020229,S,0,0,1,NA,0,0,0,0,0
1020230,S,0,0,0,2,0,0,0,0,0
1020231,S,0,0,1,NA,0,0,0,0,0
1020232,S,1,30,0,15,0,0,0,1,0
1020233,S,0,0,0,3,0,0,0,0,0
1020301,S,0,0,1,NA,0,0,0,0,0
1020302,S,1,40,0,20,0,1,1,1,1
1020303,S,1,30,NA,NA,0,0,0,1,0
1020304,T,0,0,NA,NA,0,0,0,0,0
1020305,T,0,0,1,NA,0,0,0,0,0
1020306,S,0,0,1,NA,0,0,0,0,0
1020307,T,0,0,1,NA,0,0,0,0,0
1020308,S,1,20,1,NA,0,0,1,0,0
1020309,T,1,30,NA,NA,0,0,0,1,1
1020310,S,0,0,1,NA,0,0,0,0,0
1020311,S,0,0,NA,NA,0,0,0,0,0
1020312,S,0,0,0,3,0,0,0,0,0
1020314,T,0,0,NA,NA,0,0,0,0,0
1020315,S,1,25,NA,NA,0,1,0,1,1
1020316,S,0,0,1,NA,0,0,0,0,0
1020317,S,0,0,1,NA,0,0,0,0,0
1020318,S,0,0,1,NA,0,0,0,0,0
1020319,T,0,0,1,NA,0,0,0,0,0
1020320,S,1,20,1,NA,0,1,0,0,0
1020321,S,1,31,1,NA,0,0,1,0,0
1020322,S,1,40,0,2,0,0,0,0,0
1020323,S,0,0,0,1,0,0,0,0,0
1020325,S,0,0,1,NA,0,0,0,0,0
1020326,S,0,0,1,NA,0,0,0,0,0
1020327,S,0,0,0,20,0,0,0,0,0
1020329,S,1,27,0,NA,0,0,0,1,0
1020330,S,1,20,0,10,0,0,0,1,0
1020331,S,0,0,1,NA,0,0,0,0,0
1020332,S,0,0,1,NA,0,0,0,0,0
1020333,T,0,0,1,NA,0,0,0,0,0
1020334,S,0,0,0,NA,0,0,0,0,0
1030101,S,0,0,NA,NA,0,0,0,0,0
1030102,S,0,0,0,3,0,0,0,0,0
1030103,S,1,40,NA,NA,0,1,0,1,0
1030104,S,1,25,1,NA,0,0,0,1,1
1030105,S,1,40,1,NA,0,0,0,1,0
1030106,S,0,0,1,NA,0,0,0,0,0
1030107,S,0,0,NA,NA,0,0,0,0,0
1030108,S,0,0,1,NA,0,0,0,0,0
1030109,S,0,0,NA,NA,0,0,0,0,0
1030110,S,0,0,1,NA,0,0,0,0,0
1030111,S,0,0,1,NA,0,0,0,0,0
1030112,S,0,0,1,NA,0,0,0,0,0
1030113,S,1,40,1,NA,0,0,1,1,0
1030114,S,0,0,1,NA,0,0,0,0,0
1030115,S,0,0,1,NA,0,0,0,0,0
1030116,S,0,0,NA,NA,0,0,0,0,0
1030117,S,0,0,1,NA,0,0,0,0,0
1030119,S,1,21,0,NA,0,1,0,0,0
1030120,S,0,0,0,NA,0,0,0,0,0
1030121,S,1,25,1,NA,0,0,1,0,0
1030122,S,0,0,1,NA,0,0,0,0,0
1030124,S,0,0,1,NA,0,0,0,0,0
1030125,S,1,25,1,NA,0,0,0,1,0
1030201,S,0,0,1,NA,0,0,0,0,0
1030202,S,0,0,1,NA,0,0,0,0,0
1030203,S,0,0,1,NA,0,0,0,0,0
1030204,S,1,35,NA,NA,1,1,1,1,1
1030205,S,0,0,0,30,0,0,0,0,0
1030206,S,1,20,1,NA,0,0,0,1,0
1030207,S,0,0,1,NA,0,0,0,0,0
1030208,S,0,0,1,NA,0,0,0,0,0
1030209,S,1,40,0,15,0,0,0,1,0
1030210,S,0,0,0,15,0,0,0,0,0
1030211,S,1,30,1,NA,1,1,0,1,0
1030212,S,0,0,NA,NA,0,0,0,0,0
1030213,S,1,30,NA,NA,1,0,0,1,0
1030215,S,0,0,0,NA,0,0,0,0,0
1030216,S,0,0,1,NA,0,0,0,0,0
1030217,S,0,0,0,40,0,0,0,0,0
1030218,S,0,0,0,NA,0,0,0,0,0
