part_id,sday_id,day,month,year,dayofweek
1010101,2018/1/21,21,1,2018,0
1010102,2018/1/17,17,1,2018,3
1010103,2018/1/21,21,1,2018,0
1010104,2018/1/21,21,1,2018,0
1010105,2018/1/18,18,1,2018,4
1010107,2018/1/20,20,1,2018,6
1010108,2018/1/21,21,1,2018,0
1010109,2018/1/17,17,1,2018,3
1010110,2018/1/19,19,1,2018,5
1010111,2018/1/22,22,1,2018,1
1010112,2018/1/22,22,1,2018,1
1010113,2018/1/20,20,1,2018,6
1010114,2018/1/20,20,1,2018,6
1010115,2018/1/19,19,1,2018,5
1010116,2018/1/18,18,1,2018,4
1010117,2018/1/21,21,1,2018,0
1010118,2018/1/22,22,1,2018,1
1010119,2018/1/23,23,1,2018,2
1010120,2018/1/21,21,1,2018,0
1010121,2018/1/18,18,1,2018,4
1010122,2018/1/17,17,1,2018,3
1010123,2018/1/21,21,1,2018,0
1010124,2018/1/18,18,1,2018,4
1010125,2018/1/22,22,1,2018,1
1010201,2018/1/17,17,1,2018,3
1010202,2018/4/15,15,4,2018,0
1010203,2018/1/23,23,1,2018,2
1010204,2018/1/23,23,1,2018,2
1010205,2018/4/16,16,4,2018,1
1010206,2018/1/23,23,1,2018,2
1010207,2018/4/18,18,4,2018,3
1010208,2018/1/20,20,1,2018,6
1010209,2018/1/19,19,1,2018,5
1010210,2018/1/18,18,1,2018,4
1010211,2018/1/19,19,1,2018,5
1010213,2018/1/22,22,1,2018,1
1010214,2018/4/18,18,4,2018,3
1010215,2018/4/19,19,4,2018,4
1010216,2018/4/20,20,4,2018,5
1010217,2018/1/24,24,1,2018,3
1010218,2018/4/21,21,4,2018,6
1010219,2018/1/18,18,1,2018,4
1010220,2018/1/19,19,1,2018,5
1010221,2018/1/17,17,1,2018,3
1010222,2018/1/23,23,1,2018,2
1010223,2018/1/23,23,1,2018,2
1010224,2018/1/22,22,1,2018,1
1010225,2018/1/23,23,1,2018,2
1010301,2018/1/19,19,1,2018,5
1010302,2018/1/22,22,1,2018,1
1010303,2018/1/19,19,1,2018,5
1010304,2018/1/23,23,1,2018,2
1010305,2018/1/20,20,1,2018,6
1010306,2018/1/20,20,1,2018,6
1010307,2018/1/23,23,1,2018,2
1010308,2018/1/23,23,1,2018,2
1010309,2018/1/20,20,1,2018,6
1010310,2018/1/24,24,1,2018,3
1010311,2018/1/20,20,1,2018,6
1010312,2018/1/18,18,1,2018,4
1010313,2018/1/20,20,1,2018,6
