Country	Region	SuperRegion
Bolivia	Andean Latin America	Latin America and Caribbean
Ecuador	Andean Latin America	Latin America and Caribbean
Peru	Andean Latin America	Latin America and Caribbean
Australia	Australasia	High-income
New Zealand	Australasia	High-income
Antigua and Barbuda	Caribbean	Latin America and Caribbean
Bahamas	Caribbean	Latin America and Caribbean
Barbados	Caribbean	Latin America and Caribbean
Belize	Caribbean	Latin America and Caribbean
Cuba	Caribbean	Latin America and Caribbean
Dominica	Caribbean	Latin America and Caribbean
Dominican Republic	Caribbean	Latin America and Caribbean
Grenada	Caribbean	Latin America and Caribbean
Guyana	Caribbean	Latin America and Caribbean
Haiti	Caribbean	Latin America and Caribbean
Jamaica	Caribbean	Latin America and Caribbean
Saint Kitts and Nevis	Caribbean	Latin America and Caribbean
Saint Lucia	Caribbean	Latin America and Caribbean
Saint Vincent and the Grenadines	Caribbean	Latin America and Caribbean
Suriname	Caribbean	Latin America and Caribbean
Trinidad and Tobago	Caribbean	Latin America and Caribbean
Armenia	Central Asia	Central Europe, Eastern Europe, and Central Asia
Azerbaijan	Central Asia	Central Europe, Eastern Europe, and Central Asia
Georgia	Central Asia	Central Europe, Eastern Europe, and Central Asia
Kazakhstan	Central Asia	Central Europe, Eastern Europe, and Central Asia
Kyrgyzstan	Central Asia	Central Europe, Eastern Europe, and Central Asia
Mongolia	Central Asia	Central Europe, Eastern Europe, and Central Asia
Tajikistan	Central Asia	Central Europe, Eastern Europe, and Central Asia
Turkmenistan	Central Asia	Central Europe, Eastern Europe, and Central Asia
Uzbekistan	Central Asia	Central Europe, Eastern Europe, and Central Asia
Albania	Central Europe	Central Europe, Eastern Europe, and Central Asia
Bosnia and Herzegovina	Central Europe	Central Europe, Eastern Europe, and Central Asia
Bulgaria	Central Europe	Central Europe, Eastern Europe, and Central Asia
Croatia	Central Europe	Central Europe, Eastern Europe, and Central Asia
Czech Republic	Central Europe	Central Europe, Eastern Europe, and Central Asia
Hungary	Central Europe	Central Europe, Eastern Europe, and Central Asia
Kosovo	Central Europe	Central Europe, Eastern Europe, and Central Asia
Montenegro	Central Europe	Central Europe, Eastern Europe, and Central Asia
North Macedonia	Central Europe	Central Europe, Eastern Europe, and Central Asia
Poland	Central Europe	Central Europe, Eastern Europe, and Central Asia
Romania	Central Europe	Central Europe, Eastern Europe, and Central Asia
Serbia	Central Europe	Central Europe, Eastern Europe, and Central Asia
Slovakia	Central Europe	Central Europe, Eastern Europe, and Central Asia
Slovenia	Central Europe	Central Europe, Eastern Europe, and Central Asia
Colombia	Central Latin America	Latin America and Caribbean
Costa Rica	Central Latin America	Latin America and Caribbean
El Salvador	Central Latin America	Latin America and Caribbean
Guatemala	Central Latin America	Latin America and Caribbean
