t, confirmed
0, 2.5921312193210106e-13
1, 2.712347354138565
2, 2.5921312193210106e-13
3, 2.5921312193210106e-13
4, 2.5921312193210106e-13
5, 2.712347354138565
6, 2.5921312193210106e-13
7, 2.712347354138565
8, 2.712347354138565
9, 2.712347354138565
10, 2.5921312193210106e-13
11, 2.712347354138565
12, 2.712347354138565
13, 2.5921312193210106e-13
14, 2.5921312193210106e-13
15, 2.5921312193210106e-13
16, 2.5921312193210106e-13
17, 2.5921312193210106e-13
18, 2.5921312193210106e-13
19, 2.5921312193210106e-13
20, 2.5921312193210106e-13
21, 2.5921312193210106e-13
22, 2.5921312193210106e-13
23, 2.712347354138565
24, 32.54816824966097
25, 84.08276797829059
26, 143.75440976933538
27, 179.01492537313467
28, 176.30257801899583
29, 254.96065128900955
30, 230.54952510176406
31, 347.1804613297151
32, 420.4138398914519
33, 396.0027137042063
34, 680.7991858887384
35, 802.8548168249663
36, 1011.705563093623
37, 1079.5142469470827
38, 1597.5725915875173
39, 1380.5848032564452
40, 1413.1329715061056
41, 2072.233378561737
42, 1996.2876526458617
43, 2202.42605156038
44, 2110.206241519674
45, 1749.4640434192672
46, 735.046132971506
