t, onset
0, 2.712347354138565
1, 2.712347354138565
2, 2.712347354138565
3, 5.424694708276871
4, 13.561736770692047
5, 13.561736770692047
6, 8.137042062415436
7, 8.137042062415436
8, 18.986431478968917
9, 8.137042062415436
10, 5.424694708276871
11, 8.137042062415176
12, 5.424694708276871
13, 27.123473541383834
14, 8.137042062415436
15, 27.123473541384094
16, 18.986431478968917
17, 32.54816824966097
18, 65.09633649932168
19, 46.109905020352755
20, 84.08276797829033
21, 116.6309362279513
22, 84.08276797829033
23, 254.96065128900955
24, 211.5630936227951
25, 268.5223880597016
26, 377.01628222523766
27, 414.9891451831751
28, 523.4830393487111
29, 507.2089552238808
30, 496.35956580732704
31, 610.2781546811395
32, 558.7435549525102
33, 862.526458616011
34, 737.7584803256448
35, 694.3609226594305
36, 626.5522388059704
37, 629.2645861601087
38, 621.1275440976935
39, 547.8941655359567
40, 482.797829036635
41, 471.94843962008133
42, 423.1261872455902
43, 244.11126187245605
44, 149.17910447761201
45, 51.534599728629885
46, 10.849389416553741
